DenseNet     line 1 cols 1-8 is T_Identifier 
,            line 99 cols 68-68 is ',' 
bias         line 99 cols 70-73 is T_bias 
=            line 99 cols 74-74 is '=' 
False        line 99 cols 75-79 is T_BoolConstant (value = false)
)            line 99 cols 80-80 is ')' 
(            line 100 cols 9-9 is '(' 
norm2        line 100 cols 10-14 is T_Identifier 
)            line 100 cols 15-15 is ')' 
:            line 100 cols 16-16 is ':' 
BatchNorm2d  line 100 cols 18-28 is T_BatchNorm2d 
(            line 100 cols 29-29 is '(' 
128          line 100 cols 30-32 is T_IntConstant (value = 128)
,            line 100 cols 33-33 is ',' 
eps          line 100 cols 35-37 is T_eps 
=            line 100 cols 38-38 is '=' 
1e-05        line 100 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 100 cols 44-44 is ',' 
momentum     line 100 cols 46-53 is T_momentum 
=            line 100 cols 54-54 is '=' 
0.1          line 100 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 100 cols 58-58 is ',' 
affine       line 100 cols 60-65 is T_Identifier 
=            line 100 cols 66-66 is '=' 
True         line 100 cols 67-70 is T_BoolConstant (value = true)
,            line 100 cols 71-71 is ',' 
track_running_stats line 100 cols 73-91 is T_track_running_stats 
=            line 100 cols 92-92 is '=' 
True         line 100 cols 93-96 is T_BoolConstant (value = true)
)            line 100 cols 97-97 is ')' 
(            line 101 cols 9-9 is '(' 
relu2        line 101 cols 10-14 is T_Identifier 
)            line 101 cols 15-15 is ')' 
:            line 101 cols 16-16 is ':' 
ReLU         line 101 cols 18-21 is T_ReLU 
(            line 101 cols 22-22 is '(' 
inplace      line 101 cols 23-29 is T_inplace 
=            line 101 cols 30-30 is '=' 
True         line 101 cols 31-34 is T_BoolConstant (value = true)
)            line 101 cols 35-35 is ')' 
(            line 102 cols 9-9 is '(' 
conv2        line 102 cols 10-14 is T_Identifier 
)            line 102 cols 15-15 is ')' 
:            line 102 cols 16-16 is ':' 
Conv2d       line 102 cols 18-23 is T_Conv2d 
(            line 102 cols 24-24 is '(' 
128          line 102 cols 25-27 is T_IntConstant (value = 128)
,            line 102 cols 28-28 is ',' 
32           line 102 cols 30-31 is T_IntConstant (value = 32)
,            line 102 cols 32-32 is ',' 
kernel_size  line 102 cols 34-44 is T_kernel_size 
=            line 102 cols 45-45 is '=' 
(            line 102 cols 46-46 is '(' 
3            line 102 cols 47-47 is T_IntConstant (value = 3)
,            line 102 cols 48-48 is ',' 
3            line 102 cols 50-50 is T_IntConstant (value = 3)
)            line 102 cols 51-51 is ')' 
,            line 102 cols 52-52 is ',' 
stride       line 102 cols 54-59 is T_stride 
=            line 102 cols 60-60 is '=' 
(            line 102 cols 61-61 is '(' 
1            line 102 cols 62-62 is T_IntConstant (value = 1)
,            line 102 cols 63-63 is ',' 
1            line 102 cols 65-65 is T_IntConstant (value = 1)
)            line 102 cols 66-66 is ')' 
,            line 102 cols 67-67 is ',' 
padding      line 102 cols 69-75 is T_padding 
=            line 102 cols 76-76 is '=' 
(            line 102 cols 77-77 is '(' 
1            line 102 cols 78-78 is T_IntConstant (value = 1)
,            line 102 cols 79-79 is ',' 
1            line 102 cols 81-81 is T_IntConstant (value = 1)
)            line 102 cols 82-82 is ')' 
,            line 102 cols 83-83 is ',' 
bias         line 102 cols 85-88 is T_bias 
=            line 102 cols 89-89 is '=' 
False        line 102 cols 90-94 is T_BoolConstant (value = false)
)            line 102 cols 95-95 is ')' 
)            line 103 cols 7-7 is ')' 
(            line 104 cols 7-7 is '(' 
denselayer6  line 104 cols 8-18 is T_Identifier 
)            line 104 cols 19-19 is ')' 
:            line 104 cols 20-20 is ':' 
_DenseLayer  line 104 cols 22-32 is T_Identifier 
(            line 104 cols 33-33 is '(' 
(            line 105 cols 9-9 is '(' 
norm1        line 105 cols 10-14 is T_Identifier 
)            line 105 cols 15-15 is ')' 
:            line 105 cols 16-16 is ':' 
BatchNorm2d  line 105 cols 18-28 is T_BatchNorm2d 
(            line 105 cols 29-29 is '(' 
288          line 105 cols 30-32 is T_IntConstant (value = 288)
,            line 105 cols 33-33 is ',' 
eps          line 105 cols 35-37 is T_eps 
=            line 105 cols 38-38 is '=' 
1e-05        line 105 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 105 cols 44-44 is ',' 
momentum     line 105 cols 46-53 is T_momentum 
=            line 105 cols 54-54 is '=' 
0.1          line 105 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 105 cols 58-58 is ',' 
affine       line 105 cols 60-65 is T_Identifier 
=            line 105 cols 66-66 is '=' 
True         line 105 cols 67-70 is T_BoolConstant (value = true)
,            line 105 cols 71-71 is ',' 
track_running_stats line 105 cols 73-91 is T_track_running_stats 
=            line 105 cols 92-92 is '=' 
True         line 105 cols 93-96 is T_BoolConstant (value = true)
)            line 105 cols 97-97 is ')' 
(            line 106 cols 9-9 is '(' 
relu1        line 106 cols 10-14 is T_Identifier 
)            line 106 cols 15-15 is ')' 
:            line 106 cols 16-16 is ':' 
ReLU         line 106 cols 18-21 is T_ReLU 
(            line 106 cols 22-22 is '(' 
inplace      line 106 cols 23-29 is T_inplace 
=            line 106 cols 30-30 is '=' 
True         line 106 cols 31-34 is T_BoolConstant (value = true)
)            line 106 cols 35-35 is ')' 
(            line 107 cols 9-9 is '(' 
conv1        line 107 cols 10-14 is T_Identifier 
)            line 107 cols 15-15 is ')' 
:            line 107 cols 16-16 is ':' 
Conv2d       line 107 cols 18-23 is T_Conv2d 
(            line 107 cols 24-24 is '(' 
288          line 107 cols 25-27 is T_IntConstant (value = 288)
,            line 107 cols 28-28 is ',' 
128          line 107 cols 30-32 is T_IntConstant (value = 128)
,            line 107 cols 33-33 is ',' 
kernel_size  line 107 cols 35-45 is T_kernel_size 
=            line 107 cols 46-46 is '=' 
(            line 107 cols 47-47 is '(' 
1            line 107 cols 48-48 is T_IntConstant (value = 1)
,            line 107 cols 49-49 is ',' 
1            line 107 cols 51-51 is T_IntConstant (value = 1)
)            line 107 cols 52-52 is ')' 
,            line 107 cols 53-53 is ',' 
stride       line 107 cols 55-60 is T_stride 
=            line 107 cols 61-61 is '=' 
(            line 107 cols 62-62 is '(' 
1            line 107 cols 63-63 is T_IntConstant (value = 1)
,            line 107 cols 64-64 is ',' 
1            line 107 cols 66-66 is T_IntConstant (value = 1)
)            line 107 cols 67-67 is ')' 
,            line 107 cols 68-68 is ',' 
bias         line 107 cols 70-73 is T_bias 
=            line 107 cols 74-74 is '=' 
False        line 107 cols 75-79 is T_BoolConstant (value = false)
)            line 107 cols 80-80 is ')' 
(            line 108 cols 9-9 is '(' 
norm2        line 108 cols 10-14 is T_Identifier 
)            line 108 cols 15-15 is ')' 
:            line 108 cols 16-16 is ':' 
BatchNorm2d  line 108 cols 18-28 is T_BatchNorm2d 
(            line 108 cols 29-29 is '(' 
128          line 108 cols 30-32 is T_IntConstant (value = 128)
,            line 108 cols 33-33 is ',' 
eps          line 108 cols 35-37 is T_eps 
=            line 108 cols 38-38 is '=' 
1e-05        line 108 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 108 cols 44-44 is ',' 
momentum     line 108 cols 46-53 is T_momentum 
=            line 108 cols 54-54 is '=' 
0.1          line 108 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 108 cols 58-58 is ',' 
affine       line 108 cols 60-65 is T_Identifier 
=            line 108 cols 66-66 is '=' 
True         line 108 cols 67-70 is T_BoolConstant (value = true)
,            line 108 cols 71-71 is ',' 
track_running_stats line 108 cols 73-91 is T_track_running_stats 
=            line 108 cols 92-92 is '=' 
True         line 108 cols 93-96 is T_BoolConstant (value = true)
)            line 108 cols 97-97 is ')' 
(            line 109 cols 9-9 is '(' 
relu2        line 109 cols 10-14 is T_Identifier 
)            line 109 cols 15-15 is ')' 
:            line 109 cols 16-16 is ':' 
ReLU         line 109 cols 18-21 is T_ReLU 
(            line 109 cols 22-22 is '(' 
inplace      line 109 cols 23-29 is T_inplace 
=            line 109 cols 30-30 is '=' 
True         line 109 cols 31-34 is T_BoolConstant (value = true)
)            line 109 cols 35-35 is ')' 
(            line 110 cols 9-9 is '(' 
conv2        line 110 cols 10-14 is T_Identifier 
)            line 110 cols 15-15 is ')' 
:            line 110 cols 16-16 is ':' 
Conv2d       line 110 cols 18-23 is T_Conv2d 
(            line 110 cols 24-24 is '(' 
128          line 110 cols 25-27 is T_IntConstant (value = 128)
,            line 110 cols 28-28 is ',' 
32           line 110 cols 30-31 is T_IntConstant (value = 32)
,            line 110 cols 32-32 is ',' 
kernel_size  line 110 cols 34-44 is T_kernel_size 
=            line 110 cols 45-45 is '=' 
(            line 110 cols 46-46 is '(' 
3            line 110 cols 47-47 is T_IntConstant (value = 3)
,            line 110 cols 48-48 is ',' 
3            line 110 cols 50-50 is T_IntConstant (value = 3)
)            line 110 cols 51-51 is ')' 
,            line 110 cols 52-52 is ',' 
stride       line 110 cols 54-59 is T_stride 
=            line 110 cols 60-60 is '=' 
(            line 110 cols 61-61 is '(' 
1            line 110 cols 62-62 is T_IntConstant (value = 1)
,            line 110 cols 63-63 is ',' 
1            line 110 cols 65-65 is T_IntConstant (value = 1)
)            line 110 cols 66-66 is ')' 
,            line 110 cols 67-67 is ',' 
padding      line 110 cols 69-75 is T_padding 
=            line 110 cols 76-76 is '=' 
(            line 110 cols 77-77 is '(' 
1            line 110 cols 78-78 is T_IntConstant (value = 1)
,            line 110 cols 79-79 is ',' 
1            line 110 cols 81-81 is T_IntConstant (value = 1)
)            line 110 cols 82-82 is ')' 
,            line 110 cols 83-83 is ',' 
bias         line 110 cols 85-88 is T_bias 
=            line 110 cols 89-89 is '=' 
False        line 110 cols 90-94 is T_BoolConstant (value = false)
)            line 110 cols 95-95 is ')' 
)            line 111 cols 7-7 is ')' 
(            line 112 cols 7-7 is '(' 
denselayer7  line 112 cols 8-18 is T_Identifier 
)            line 112 cols 19-19 is ')' 
:            line 112 cols 20-20 is ':' 
_DenseLayer  line 112 cols 22-32 is T_Identifier 
(            line 112 cols 33-33 is '(' 
(            line 113 cols 9-9 is '(' 
norm1        line 113 cols 10-14 is T_Identifier 
)            line 113 cols 15-15 is ')' 
:            line 113 cols 16-16 is ':' 
BatchNorm2d  line 113 cols 18-28 is T_BatchNorm2d 
(            line 113 cols 29-29 is '(' 
320          line 113 cols 30-32 is T_IntConstant (value = 320)
,            line 113 cols 33-33 is ',' 
eps          line 113 cols 35-37 is T_eps 
=            line 113 cols 38-38 is '=' 
1e-05        line 113 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 113 cols 44-44 is ',' 
momentum     line 113 cols 46-53 is T_momentum 
=            line 113 cols 54-54 is '=' 
0.1          line 113 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 113 cols 58-58 is ',' 
affine       line 113 cols 60-65 is T_Identifier 
=            line 113 cols 66-66 is '=' 
True         line 113 cols 67-70 is T_BoolConstant (value = true)
,            line 113 cols 71-71 is ',' 
track_running_stats line 113 cols 73-91 is T_track_running_stats 
=            line 113 cols 92-92 is '=' 
True         line 113 cols 93-96 is T_BoolConstant (value = true)
)            line 113 cols 97-97 is ')' 
(            line 114 cols 9-9 is '(' 
relu1        line 114 cols 10-14 is T_Identifier 
)            line 114 cols 15-15 is ')' 
:            line 114 cols 16-16 is ':' 
ReLU         line 114 cols 18-21 is T_ReLU 
(            line 114 cols 22-22 is '(' 
inplace      line 114 cols 23-29 is T_inplace 
=            line 114 cols 30-30 is '=' 
True         line 114 cols 31-34 is T_BoolConstant (value = true)
)            line 114 cols 35-35 is ')' 
(            line 115 cols 9-9 is '(' 
conv1        line 115 cols 10-14 is T_Identifier 
)            line 115 cols 15-15 is ')' 
:            line 115 cols 16-16 is ':' 
Conv2d       line 115 cols 18-23 is T_Conv2d 
(            line 115 cols 24-24 is '(' 
320          line 115 cols 25-27 is T_IntConstant (value = 320)
,            line 115 cols 28-28 is ',' 
128          line 115 cols 30-32 is T_IntConstant (value = 128)
,            line 115 cols 33-33 is ',' 
kernel_size  line 115 cols 35-45 is T_kernel_size 
=            line 115 cols 46-46 is '=' 
(            line 115 cols 47-47 is '(' 
1            line 115 cols 48-48 is T_IntConstant (value = 1)
,            line 115 cols 49-49 is ',' 
1            line 115 cols 51-51 is T_IntConstant (value = 1)
)            line 115 cols 52-52 is ')' 
,            line 115 cols 53-53 is ',' 
stride       line 115 cols 55-60 is T_stride 
=            line 115 cols 61-61 is '=' 
(            line 115 cols 62-62 is '(' 
1            line 115 cols 63-63 is T_IntConstant (value = 1)
,            line 115 cols 64-64 is ',' 
1            line 115 cols 66-66 is T_IntConstant (value = 1)
)            line 115 cols 67-67 is ')' 
,            line 115 cols 68-68 is ',' 
bias         line 115 cols 70-73 is T_bias 
=            line 115 cols 74-74 is '=' 
False        line 115 cols 75-79 is T_BoolConstant (value = false)
)            line 115 cols 80-80 is ')' 
(            line 116 cols 9-9 is '(' 
norm2        line 116 cols 10-14 is T_Identifier 
)            line 116 cols 15-15 is ')' 
:            line 116 cols 16-16 is ':' 
BatchNorm2d  line 116 cols 18-28 is T_BatchNorm2d 
(            line 116 cols 29-29 is '(' 
128          line 116 cols 30-32 is T_IntConstant (value = 128)
,            line 116 cols 33-33 is ',' 
eps          line 116 cols 35-37 is T_eps 
=            line 116 cols 38-38 is '=' 
1e-05        line 116 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 116 cols 44-44 is ',' 
momentum     line 116 cols 46-53 is T_momentum 
=            line 116 cols 54-54 is '=' 
0.1          line 116 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 116 cols 58-58 is ',' 
affine       line 116 cols 60-65 is T_Identifier 
=            line 116 cols 66-66 is '=' 
True         line 116 cols 67-70 is T_BoolConstant (value = true)
,            line 116 cols 71-71 is ',' 
track_running_stats line 116 cols 73-91 is T_track_running_stats 
=            line 116 cols 92-92 is '=' 
True         line 116 cols 93-96 is T_BoolConstant (value = true)
)            line 116 cols 97-97 is ')' 
(            line 117 cols 9-9 is '(' 
relu2        line 117 cols 10-14 is T_Identifier 
)            line 117 cols 15-15 is ')' 
:            line 117 cols 16-16 is ':' 
ReLU         line 117 cols 18-21 is T_ReLU 
(            line 117 cols 22-22 is '(' 
inplace      line 117 cols 23-29 is T_inplace 
=            line 117 cols 30-30 is '=' 
True         line 117 cols 31-34 is T_BoolConstant (value = true)
)            line 117 cols 35-35 is ')' 
(            line 118 cols 9-9 is '(' 
conv2        line 118 cols 10-14 is T_Identifier 
)            line 118 cols 15-15 is ')' 
:            line 118 cols 16-16 is ':' 
Conv2d       line 118 cols 18-23 is T_Conv2d 
(            line 118 cols 24-24 is '(' 
128          line 118 cols 25-27 is T_IntConstant (value = 128)
,            line 118 cols 28-28 is ',' 
32           line 118 cols 30-31 is T_IntConstant (value = 32)
,            line 118 cols 32-32 is ',' 
kernel_size  line 118 cols 34-44 is T_kernel_size 
=            line 118 cols 45-45 is '=' 
